no,name,address,province,phone_numbers,faxes,emails,website_or_facebook,mailbox,department_name,major
19,សាលាជាតិកសិកម្មព្រែកលៀប,ផ្លូវជាតិលេខ ៦ សង្កាត់ព្រែកលាប ខណ្ឌជ្រោយចង្វារ រាជធានីភ្នំពេញ,រាជធានីភ្នំពេញ,០២៣ ៦៩១ ០៥៨២;                   ០៩២ ៧៦៧ ៨៨០,០២៣ ២១៩ ៧៤៦,info@pnsa.edu.kh,www.pnsa.edu.kh,,១.ដេប៉ាតឺម៉ង់វិទ្យាសាស្ត្រកសិកម្ម,វិទ្យាសាស្ត្រកសិកម្ម
,,,,,,,,,២.ដេប៉ាតឺម៉ង់វិទ្យាសាស្ត្រ និងវេជ្ជសាស្ត្រសត្វ,វិទ្យសាស្ត្រ និង វេជ្ជសាស្ត្រសត្វ
,,,,,,,,,៣.ដេប៉ាតឺម៉ង់វិទ្យាសាស្ត្រជលផល,វិទ្យាសាស្ត្រជលផល
,,,,,,,,,៤.ដេប៉ាតឺម៉ង់វិទ្យាសាស្ត្រព្រៃឈើ,វិទ្យាសាស្ត្រព្រៃឈើ
,,,,,,,,,៥.ដេប៉ាតឺម៉ង់សាកវប្បកម្ម,សាកវប្បកម្ម
,,,,,,,,,៦.ដេប៉ាតឺម៉ង់សេដ្ឋកិច្ចកសិកម្ម,សេដ្ឋកិច្ចកសិកម្ម
,,,,,,,,,៧.ដេប៉ាតឺម៉ង់កសិ-ឧស្សាហកម្ម,កសិ-ឧស្សាហកម្ម
,,,,,,,,,៨.ដេប៉ាតឺម៉ង់សុរិយោដី,សុរិយោដី
,,,,,,,,,៨.ដេប៉ាតឺម៉ង់ផ្សព្វផ្សាយ និង អភិវឌ្ឍន៍ជនបទ,ផ្សព្វផ្សាយ និងអភិវឌ្ឍន៍ជនបទ
20,សាលាជាតិកសិកកម្មកំពង់ចាម,ភូមិទី ៦ ផ្លូវជាតិលេខ ៧ចាស់ សង្កាត់វាលវង់ ក្រុងកំពង់ចាម ខេត្តកំពង់ចាម,កំពង់ចាម,០៤២ ៩៤៣ ៣៩៩; ០១២ ៨៨៤ ១១០,៤២ ៩៤៣ ៣៩៩,sereisoun@yahoo.com,Kampong Cham National School of Agriculture,,១.ដេប៉ាតឺម៉ង់វិទ្យាសាស្ត្រកសិកម្ម,វិទ្យាសាស្ត្រកសិកម្ម
,,,,,,,,,២.ដេប៉ាតឺម៉ង់វិទ្យាសាស្ត្រនិងវិជ្ជសាស្ត្រ,វិទ្យាសាស្ត្រ និង វេជ្ជសាស្ត្រសត្វ
,,,,,,,,,៣.ដេប៉ាតឺម៉ង់វិទ្យាសាស្ត្រកៅស៊ូ,វិទ្យាសាស្ត្រកៅស៊ូ
,,,,,,,,,៤.ដេប៉ាតឺម៉ង់វិទ្យាសាស្ត្រជលផល,វិទ្យាសាស្ត្រជលផល
,,,,,,,,,៤.ដេប៉ាតឺម៉ង់វិទ្យាសាស្ត្រសេដ្ឋកិច្ចកសិកម្ម និង អភិវឌ្ឍជនបទ,វិទ្យាសាស្ត្រកសិកម្ម និងគ្រប់គ្រងកសិកម្ម
21,សាខាសាកលវិទ្យាល័យជាស៊ីម កំចាយមារ,ភូមិឡូតិ៍លេខ ៦ សង្កាត់កំពង់លាវ ក្រុងព្រៃវែង ខេត្តព្រៃវែង,ព្រៃវែង,០៩៥ ៤៤៤ ៦៧៨ ; ០១៧ ៥៥៥ ២០៦;  ០៨១ ៩២០ ៩២០,,radys.fdcc@yahoo.com ; nunsavuth@yahoo.com,,,មហាវិទ្យាល័យគ្រប់គ្រង ,គណនេយ្យ
,,,,,,,,,,ធនាគារ និងហវិញ្ញាវត្ថុ
,,,,,,,,,,គ្រប់គ្រងធនធានមនុស្ស
,,,,,,,,,,ទីផ្សារ
,,,,,,,,,"មហាវិទ្យាល័យសិល្បៈ
មនុស្សសាស្រ្ត និងភាសា",ភាសាអង់គេ្លស
,,,,,,,,,,អក្សរសាស្រ្តខ្មែរ
,,,,,,,,,"មហាវិទ្យាល័យវិទ្យាសាស្រ្ត
គណិតសាស្រ្ត",ព័ត៌មានវិទ្យា
,,,,,,,,,,គណិតវិទ្យា
,,,,,,,,,,គីមីវិទ្យា
,,,,,,,,,"មហាវិទ្យាល័យវិទ្យាសាស្រ្ត
សង្គម",សេដ្ឋកិច្ច
,,,,,,,,,,ទេសចរណ៍ និងបដិសណ្ឋាកិច្ច
,,,,,,,,,,អភិវឌ្ឍន៏ជនបទ
,,,,,,,,,មហាវិទ្យាល័យកសិកម្ម,ក្សេត្រសាស្រ្ត
,,,,,,,,,,គ្រប់គ្រងធនធានធម្មជាតិ
,,,,,,,,,,ផលិតកម្មសត្វ និងបសុព្យាបាល
22,សាខាសាកលវិទ្យាល័យជាស៊ីម កំចាយមារ,ផ្លូវជាតិលេខ ៧ ភូមិបឹងស្នាយ សង្កាត់សំបូរមាស ក្រុងកំពង់ចាម ខេត្តកំពង់ចាម,កំពង់ចាម,០៤២ ៥៥៥ ៥៧៨៨ ;     ០៧៨ ៨៨៨ ១៧៨ ; ០៨៨ ៥៥៣ ៣៨៨៨ ; ០១០ ៧៤៤ ៤៤៧,,yeansambo@yahoo.com ; pisith888@gmail.com,,,មហាវិទ្យាល័យគ្រប់គ្រង ,គណនេយ្យ
,,,,,,,,,,ធនាគារ និងហវិញ្ញាវត្ថុ
,,,,,,,,,,គ្រប់គ្រងធនធានមនុស្ស
,,,,,,,,,,ទីផ្សារ
,,,,,,,,,"មហាវិទ្យាល័យសិល្បៈ
មនុស្សសាស្រ្ត និងភាសា",ភាសាអង់គេ្លស
,,,,,,,,,,អក្សរសាស្រ្តខ្មែរ
,,,,,,,,,"មហាវិទ្យាល័យវិទ្យាសាស្រ្ត
គណិតសាស្រ្ត",ព័ត៌មានវិទ្យា
,,,,,,,,,,គណិតវិទ្យា
,,,,,,,,,,គីមីវិទ្យា
,,,,,,,,,"មហាវិទ្យាល័យវិទ្យាសាស្រ្ត
សង្គម",សេដ្ឋកិច្ច
,,,,,,,,,,ទេសចរណ៍ និងបដិសណ្ឋាកិច្ច
,,,,,,,,,,អភិវឌ្ឍន៏ជនបទ
,,,,,,,,,មហាវិទ្យាល័យកសិកម្ម,ក្សេត្រសាស្រ្ត
,,,,,,,,,,គ្រប់គ្រងធនធានធម្មជាតិ
,,,,,,,,,,ផលិតកម្មសត្វ និងបសុព្យាបាល
