no,name,logo_name,address,province,phone_numbers,faxes,Emails,website_or_facebook,mailbox,department_name,major
,,,,,,,,,,,ជីវវិទ្យា
,,,,,,,,,,,គ្រប់ក្រងប្រព័ន្ធព័ត៌មានវិទ្យា
,,,,,,,,,,,គណិតវិទ្យា
,,,,,,,,,,,រូបវិទ្យា
,,,,,,,,,,,គ្រប់គ្រងសិ្ថតិអនុវត្តន៏
,,,,,,,,,,,បច្ចេកវិទ្យាព័ត៌មានវិទ្យា
,,,,,,,,,,មហាវិទ្យាល័យគ្រប់គ្រង ពាណិជ្ជកម្ម និងសេដ្ឋកិច្ច,គ្រប់គ្រង
,,,,,,,,,,,គណនេយ្យ
,,,,,,,,,,,ហរិញ្ញវត្ថុ និងធនាគារ
,,,,,,,,,,,ម៉ាឃីតធីង(ទីផ្សារ)
,,,,,,,,,,,សេដ្ឋកិច្ចអភិវឌ្ឍន៏
,,,,,,,,,,,គ្រប់គ្រងសណ្ឋាគារ និងទេសចរណ៏
,,,,,,,,,,,គ្រប់គ្រងការផ្សាយពាណិជ្ជកម្ម
,,,,,,,,,,,គ្រប់គ្រងពាណិជ្ជកម្មអន្ដរជាតិ
,,,,,,,,,,,គ្រប់គ្រងអចលនវត្ថុ និងដីធ្លី
17,សាខាសាកលវិទ្យាល័យចេនឡា,chenla,ផ្លូវលេខ ២០៧ ភូមិរំចេក ៤ សង្កាត់រតនៈ ក្រុងបាត់ដំបង ខេត្តបាត់ដំបង,បាត់ដំបង,០៨៩ ៧៥២ ២៧២,,,,,,
,,,,,,,,,,,គិលានុបដ្ឋាន
,,,,,,,,,,,ឆ្មប
,,,,,,,,,,,បច្ចេកទេសមន្ទីរពិសោនធ៍
18,សាខាសាកលវិទ្យាល័យបៀលប្រាយ,bbu,ភូមិ១ សង្កាត់រការក្នុង ក្រុងដូនកែវ ខេត្តតាកែវ,តាកែវ,០៣២ ៩៣១ ០៣១ ; ០១២ ៦៦០ ៨២៨,,,,,"មហាវិទ្យាល័យសេដ្ឋកិច្ច និង
វិទ្យាសាស្រ្តកសិកម្ម",សេដ្ឋកិច្ច
,,,,,,,,,,,សេដ្ឋកិច្ចនិងហិរញ្ញវត្ថុ
,,,,,,,,,,,គ្រប់គ្រងគម្រោងនិងអភិវឌ្ឍន៍ជនបទ
,,,,,,,,,,,កសិកម្ម
,,,,,,,,,,,ផលិតកម្មកសិកម្មនិងទីផ្សារ
,,,,,,,,,,"មហាវិទ្យាល័យវិទ្យាសាស្រ្ត និង
បច្ចេកវិទ្យា",វិទ្យាសាស្រ្តកុំព្យូទ័រ
,,,,,,,,,,,បច្ចេកវិទ្យាព័ត៌មាន
,,,,,,,,,,,ការអនុវត្តន៍ក្នុងកុំព្យូទ័រ
,,,,,,,,,,,បច្ចេកវិទ្យាបណ្ដាញកុំព្យូទ័រ
,,,,,,,,,,"មហាវិទ្យាល័យសិល្បៈមនុស្ស
សាស្រ្ត និងភាសា",ភាសាអង់គេ្លស
,,,,,,,,,,,បង្រៀនភាសាអង់គ្លេសជាភាសាបរទេស
,,,,,,,,,,,ភាសាអង់គេ្លសសម្រាប់ធុរកិច្ចអន្តរជាតិ
,,,,,,,,,,,ផែនការអប់រំ និងគ្រប់គ្រង
,,,,,,,,,,មហាវិទ្យាល័យគ្រប់គ្រងធុរកិច្ច,រដ្ឋបាលធុរកិច្ច(គ្រប់គ្រងធុរកិច្ច)
,,,,,,,,,,,គ្រប់គ្រង
,,,,,,,,,,,គណនេយ្យ និងហិរញ្ញវត្ថុ
,,,,,,,,,,,ធនាគារនិងហិរញ្ញវត្ថុ
,,,,,,,,,,,ទីផ្សារ
,,,,,,,,,,,ទេសចរណ៍ និងបដិសណ្ឋារកិច្ច
,,,,,,,,,,"មហាវិោទ្យាល័យទេសចរណ៍ និង
បដិសណ្ឋារកិច្ច",គ្រប់គ្រងសណ្ឋាគារនិងបដិសណ្ឋារកិច្ច
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍និងបដិសណ្ឋារកិច្ច
19,សាខាសាកលវិទ្យាល័យអង្គរខេមរា,angkor_khemara,អគារលេខ ២០ ផ្លូវ ២២ សង្កាត់រការក្នុង ក្រុងដូនកែវ ខេត្តតាកែវ,តាកែវ,០៣២ ៦៩០ ០១៤៣ ; ០៣២ ៦៩៩ ៩៩៥១;  ០៩៧ ៧៧៧ ៩៣៩៦,,angkorkhemara_tk@yahoo.com,,,"មហាវិទ្យាល័យ វិទ្យាសាស្រ្ត
សង្គម",សង្គមវិទ្យា
,,,,,,,,,,,កិច្ចការសង្គម​
,,,,,,,,,,,ចិត្តវិទ្យា
,,,,,,,,,,,វិទ្យាសាស្រ្តនយោបាយ
,,,,,,,,,,,សេដ្ឋកិច្ច
,,,,,,,,,,,គ្រប់គ្រងទូទៅ
,,,,,,,,,,,ភូមិវិទ្យា
,,,,,,,,,,,នីតិសាធារណៈ
,,,,,,,,,,,នីតឯកជន
,,,,,,,,,,,គណនេយ្យ និងហរិញ្ញវត្ថុ
,,,,,,,,,,,ធនាគារ​ និងហរិញ្ញវត្ថុ
,,,,,,,,,,,រដ្ឋបាលពាណិជ្ជកម្ម
,,,,,,,,,,,ទីផ្សារ និងការលក់
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍
,,,,,,,,,,"មហាវិទ្យាល័យ វិទ្យាសាស្រ្ត
អប់រំ",គ្រប់គ្រងអប់រំ
,,,,,,,,,,,គរុកោសល្យសង្គម
,,,,,,,,,,,គណិតវិទ្យា
,,,,,,,,,,,រូបវិទ្យា
,,,,,,,,,,,គីមីវិទ្យា
,,,,,,,,,,,ជីវវិទ្យា
,,,,,,,,,,,ភូមិវិទ្យា
,,,,,,,,,,,ប្រវតិ្តវិទ្យា
,,,,,,,,,,,ទស្សនវិជ្ជា
,,,,,,,,,,,អក្សរសាស្រ្តខ្មែរ
,,,,,,,,,,,ភាសាអង់គ្លេស
,,,,,,,,,,"មហាវិទ្យាល័យ សិល្បៈមនុស្ស
សាស្រ្ត និងភាសា",ប្រវតិ្តវិទ្យា
,,,,,,,,,,,ទស្សនវិជ្ជា
,,,,,,,,,,,អក្សរសាស្រ្តខ្មែរ
,,,,,,,,,,,ភាសាអង់គ្លេស
,,,,,,,,,,"មហាវិទ្យាល័យ គណិតសាស្រ្ត
និងវិទ្យាសាស្រ្ត",គណិតវិទ្យា
,,,,,,,,,,,រូបវិទ្យា
,,,,,,,,,,,គីមីវិទ្យា
,,,,,,,,,,,ជីវវិទ្យា
,,,,,,,,,,,វិទ្យាសាស្រ្តកុំព្យូទ័រ
,,,,,,,,,,,អគ្គីសនី
,,,,,,,,,,"មហាវិទ្យាល័យ វិទ្យាសាស្រ្ត
កសិកម្ម និងអភិវឌ្ឍន៍ជនបទ",វិទ្យាសាស្រ្តកសិកម្ម
,,,,,,,,,,,សេដ្ឋកិច្ចកសិកម្ម
,,,,,,,,,,,អភិវឌ្ឍន៍ជនបទ
20,សាខាសាកលវិទ្យាល័យបៀលប្រាយ,bbu,ភូមិទេសអន្លង់ សង្កាត់បឹងកន្សែង ក្រុងឡាបានសៀក ខេត្តរតនគិរី,រតនគិរី,០៧៥ ៩៧៤ ០៦៤,,,,,"មហាវិទ្យាល័យទេសចរណ៍ និង
បដិសណ្ឋារកិច្ច",គ្រប់គ្រងសណ្ឋាគារ និងបដិសណ្ឋារកិច្ច
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍ និងបដិសណ្ឋារកិច្ច
,,,,,,,,,,មហាវិទ្យាល័យគ្រប់គ្រងធុរកិច្ច,រដ្ឋបាលធុរកិច្ច(គ្រប់គ្រងធុរកិច្ច)
,,,,,,,,,,,គ្រប់គ្រង
,,,,,,,,,,,គណនេយ្យ និងហរិញ្ញវត្ថុ
,,,,,,,,,,,ធនាគារ​ និងហរិញ្ញវត្ថុ
,,,,,,,,,,,ទីផ្សារ
,,,,,,,,,,,ទេសចរណ៍ និងបដិសណ្ឋារកិច្ច
,,,,,,,,,,"មហាវិទ្យាល័យសិល្បៈ
មនុស្សសាស្រ្ត និងភាសា",ភាសាអង់គ្លេស
,,,,,,,,,,,បង្រៀនភាសាអង់គ្លេសជាភាសាបរទេស
,,,,,,,,,,,ភាសាអង់គ្លេសសម្រាប់ធុរកិច្ចអន្តរជាតិ
,,,,,,,,,,,ផែនការអប់រំ និងគ្រប់គ្រង
,,,,,,,,,,"មហាវិទ្យាល័យវិទ្យាសាស្រ្ត និង
បច្ចេកវិទ្យា",វិទ្យាសាស្រ្តកុំព្យូទ័រ
,,,,,,,,,,,បច្ចេកវិទ្យាព័ត៌មាន
,,,,,,,,,,,ការអនុវត្តន៍កុំព្យូទ័រ
,,,,,,,,,,,បច្ចេកវិទ្យាបណ្ដាញកុំព្យូទ័រ
,,,,,,,,,,"មហាវិទ្យាល័យសេដ្ឋកិច្ច និង
កសិកម្ម",សេដ្ឋកិច្ច
,,,,,,,,,,,សេដ្ឋកិច្ច និងហិរញ្ញវត្ថុ
,,,,,,,,,,,គ្រប់គ្រងគម្រោង និងអភិវឌ្ឍន៍ជនបទ
,,,,,,,,,,,កសិកម្ម
,,,,,,,,,,,ផលិតកម្មកសិកម្ម និងទីផ្សារ
21,សាខាសាកលវិទ្យាល័យបៀលប្រាយ,bbu,ភូមិអូរអំបិល សង្កាត់អូរអំបិល ក្រុងសេរីសោភណ្ឌ ខេត្តបន្ទាយមានជ័យ,បន្ទាយមានជ័យ,"054 958 300;
054 710 505
092 2222 12;
098 6666 99",,banteaymeancheyinfo@bbu.edu.kh,,,មហាវិទ្យាល័យ សេដ្ឋកិច្ច,
,,,,,,,,,,មហាវិទ្យាល័យ គ្រប់គ្រងធុរកិច្ច,
,,,,,,,,,,មហាវិទ្យាល័យទេសចរណ៍ និងបដិសណ្ឋារកិច្ច,
,,,,,,,,,,មហាវិទ្យាល័យនិតិសាស្រ្ត និងវិទ្យាសាស្រ្តសង្គម​,
,,,,,,,,,,មហាវិទ្យាល័យវិទ្យាសាស្រ្ត និងបច្ចេកវិទ្យា,
,,,,,,,,,,មហាវិទ្យាល័យវិស្វកម្ម និងស្ថាបត្យកម្ម,
,,,,,,,,,,មហាវិទ្យាល័យអប់រំភាសា​,
22,សាខាសាកលវិទ្យាល័យឯកទេសនៃកម្ពុជា,cambodia_specialty,អគារលេខ ៧៣ ភូមិសុភី សង្កាត់កំពង់ស្វាយ ក្រុងសេរីសោភណ្ឌ ខេត្តបន្ទាយមានជ័យ,បន្ទាយមានជ័យ,០១២ ២៩១ ១៤០,,,,,មហាវិទ្យាល័យសិល្បៈ មនុស្សសាស្រ្ត និងភាសា,អក្សរសាស្រ្តអង់គ្លេស
,,,,,,,,,,,ប្រវត្តិវិទ្យា
,,,,,,,,,,,ចិត្ត-គរុកោសល្យ
,,,,,,,,,,,ភូមិវិទ្យា
,,,,,,,,,,,អក្សរសាស្រ្តខ្មែរ
,,,,,,,,,,មហាវិទ្យាល័យវិទ្យាសាស្រ្ត និងបច្ចេកទេស,វិទ្យាសាស្រ្តកុំព្យូទ័រ
,,,,,,,,,,,គីមីវិទ្យា
,,,,,,,,,,,ជីវវិទ្យា
,,,,,,,,,,,គណិតវិទ្យា
,,,,,,,,,,,រូបវិទ្យា
,,,,,,,,,,មហាវិទ្យាល័យគ្រប់គ្រង ពាណិជ្ជកម្ម និងសេដ្ឋកិច្ច,គ្រប់គ្រង
,,,,,,,,,,,គណនេយ្យ
,,,,,,,,,,,ហរិញ្ញវត្ថុ និងធនាគារ
,,,,,,,,,,,ម៉ាឃីតធីង(ទីផ្សារ)
,,,,,,,,,,,គ្រប់គ្រងសណ្ឋាគារ និងទេសចរណ៏
,,,,,,,,,,,គ្រប់គ្រងការផ្សាយពាណិជ្ជកម្ម
23,សាខាសាកលវិទ្យាល័យ គ្រប់គ្រង និង សេដ្ឋកិច្ច,management_economic,ផ្លូវជាតិលេខ ៦៥ អា ភូមិខ្លាកូនចាស់ សង្កាត់កំពង់ស្វាយ ក្រុងសេរីសោភណ្ឌ ខេត្តបន្ទាយមានជ័យ,បន្ទាយមានជ័យ,០៥៤ ៦៦៦ ៦៦៦៩ ; ០១២ ៩១១ ៩៨៨ ;          ០១៦ ៩១១ ៩៨៨,,ume_bmc@yahoo.com,,,គ្រប់គ្រងពាណិជ្ជកម្ម និងទេសចរណ៍,គណនេយ្យ
,,,,,,,,,,,គ្រប់គ្រង
,,,,,,,,,,,ធនាគារ
,,,,,,,,,,,ទីផ្សារ
,,,,,,,,,,សិល្បៈមនុស្សសាស្រ្ត និងភាសាបរទេស,ការបង្រៀន
,,,,,,,,,,,ការបកប្រែ
,,,,,,,,,,វិទ្យាសាស្រ្ត និងបច្ចេកវិទ្យា,សរសេរកម្មវិធីនិងរចនាគេហទំព័រ
,,,,,,,,,,,បណ្តាញណិតវើក
,,,,,,,,,,,"គ្រប់គ្រងប្រព័ន្ធ
ព័ត៌មានវិទ្យា
"
,,,,,,,,,,នីតិសាស្រ្ត និងសេដ្ឋកិច្ច,នីតិសាស្រ្ត
,,,,,,,,,,,សេដ្ឋកិច្ច
,,,,,,,,,,កសិកម្ម និងអភិវឌ្ឍន៍ជនបទ,ក្សេត្យសាស្រ្ត
,,,,,,,,,,,រុក្ខកម្ម
,,,,,,,,,,,ជលផល
,,,,,,,,,,,ស្ថាបត្យកម្ម
24,សាខាសាកលវិទ្យាល័យបៀលប្រាយ,bbu,ភូមិថ្មលាត សង្កាត់ស្រែឫស្សី ក្រុងស្ទឹងត្រែង ខេត្តស្ទឹងត្រែង,ស្ទឹងត្រែង,០៧៤ ៩៧៣ ៦៦៣,,,,,"មហាវិទ្យាល័យគ្រប់គ្រងធុរកិច្ច
",រដ្ឋបាលធុរកិច្ច(គ្រប់គ្រងធុរកិច្ច)
,,,,,,,,,,,គ្រប់គ្រង
,,,,,,,,,,,គណនេយ្យ និងហរិញ្ញវត្ថុ
,,,,,,,,,,,ធនាគារ និងហរិញ្ញវត្ថុ
,,,,,,,,,,,ទីផ្សារ
,,,,,,,,,,,ទេសចរណ៍ និងបដិសណ្ឋារកិច្ច
,,,,,,,,,,មហាវិទ្យាល័យទេសចរណ៍ និងបដិសណ្ឋារកិច្ច,គ្រប់គ្រងសណ្ឋាគារ និងបដិសណ្ឋារកិច្ច
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍ និងបដិសណ្ឋារកិច្ច
,,,,,,,,,,មហាវិទ្យាល័យសេដ្ឋកិច្ច និងវិទ្យាសាស្រ្តកសិកម្ម,សេដ្ឋកិច្ច
,,,,,,,,,,,សេដ្ឋកិច្ច និងហិរញ្ញវត្ថុ
,,,,,,,,,,,គ្រប់គ្រងគម្រោងនិងអភិវឌ្ឍន៍ជនបទ
,,,,,,,,,,,កសិកម្ម
,,,,,,,,,,,ផលិតកម្មកសិកម្មនិងទីផ្សារ
,,,,,,,,,,មហាវិទ្យាល័យវិទ្យាសាស្រ្ត និងបច្ចេកវិទ្យា,វិទ្យាសាស្រ្តកុំព្យូទ័រ
,,,,,,,,,,,បច្ចេកវិទ្យាព័ត៌មាន
,,,,,,,,,,,ការអនុវត្តន៍កុំព្យូទ័រ
,,,,,,,,,,,បច្ចេកវិទ្យាបណ្ដាញកុំព្យូទ័រ
,,,,,,,,,,មហាវិទ្យាល័យសិល្បៈ មនុស្សសាស្រ្ត និងភាសា,ភាសាអង់ក្លេស
,,,,,,,,,,,បង្រៀនភាសាអង់គ្លេសជាភាសាបរទេស
,,,,,,,,,,,ភាសាអង់ក្លេសសម្រាប់ធុរកិច្ចអន្តរជាតិ
,,,,,,,,,,,ផែនការអប់រំ និងគ្រប់គ្រង
25,សាខាសាកលវិទ្យាល័យឯកទេសនៃកម្ពុជា,cambodia_specialty,អគារលេខ២១ ភូមិយោសូភី សង្កាត់កំពតកណ្តាល ក្រុងកំពត  ខេត្តកំពត,កំពត,០១២ ៧៦៩ ២២០,,,,,មហាវិទ្យាល័យសិល្បៈ មនុស្សសាស្រ្ត និងភាសា,អក្សរសាស្រ្តអង់គ្លេស
,,,,,,,,,,,ប្រវត្តិវិទ្យា
,,,,,,,,,,,ចិត្ត-គរុកោសល្យ
,,,,,,,,,,,ភូមិវិទ្យា
,,,,,,,,,,,អក្សរសាស្រ្តខ្មែរ
,,,,,,,,,,មហាវិទ្យាល័យវិទ្យាសាស្រ្ត និងបច្ចេកទេស,វិទ្យាសាស្រ្តកុំព្យូទ័រ
,,,,,,,,,,,គីមីវិទ្យា
,,,,,,,,,,,ជីវវិទ្យា
,,,,,,,,,,,គណិតវិទ្យា
,,,,,,,,,,,រូបវិទ្យា
,,,,,,,,,,មហាវិទ្យាល័យគ្រប់គ្រង ពាណិជ្ជកម្ម និងសេដ្ឋកិច្ច,គ្រប់គ្រង
,,,,,,,,,,,គណនេយ្យ
,,,,,,,,,,,ហរិញ្ញវត្ថុ និងធនាគារ
,,,,,,,,,,,ម៉ាឃីតធីង(ទីផ្សារ)
,,,,,,,,,,,គ្រប់គ្រងសណ្ឋាគារ និងទេសចរណ៏
,,,,,,,,,,,គ្រប់គ្រងការផ្សាយពាណិជ្ជកម្ម
26,សាខាសកលវិទ្យាល័យគ្រប់គ្រងនិងសេដ្ឋកិច្ច,management_economic,អគារលេខ៤៧ ភូមិសុវណ្ណសាគរ សង្កាត់កំពង់កណ្តាល ក្រុងកំពត ខេត្តកំពត,កំពត,០៣៣ ៦៦៦ ៦១៩២,,umekpt@gmail.com,,,,គ្រប់គ្រង
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍
,,,,,,,,,,,គណនេយ្យ
,,,,,,,,,,,ធនាគារ និងហរិញ្ញវត្ថុ
,,,,,,,,,,,ទីផ្សារ(ម៉ាឃីតធីង)
,,,,,,,,,,,ច្បាប់
,,,,,,,,,,,សេដ្ឋកិច្ច
,,,,,,,,,,,អភិវឌ្ឍន៍សហគមន៍
,,,,,,,,,,,អក្សរសាស្រ្តខ្មែរ
,,,,,,,,,,,ភាសាអង់ក្លេស
,,,,,,,,,,,គណិតវិទ្យា
,,,,,,,,,,,វិទ្យាសាស្រ្តកុំព្យូទ័រ
27,សាខាសកលវិទ្យាល័យឯកទេសនៃកម្ពុជា,cambodia_specialty,ភូមិបាល្ល័ង្គលិច សង្កាត់ដំរីជាន់ខ្លា ក្រុងស្ទឹងសែន ខេត្តកំពង់ធំ,កំពង់ធំ,០១២ ៨៥៤ ៣៤២,,,,,,គ្រប់គ្រង
,,,,,,,,,,,គ្រប់គ្រងពាណិជ្ជកម្ម
,,,,,,,,,,,គណនេយ្យ
,,,,,,,,,,,ហរិញ្ញវត្ថុ និងធនាគារ
,,,,,,,,,,,ំម៉ាឃីតធីង
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍ សណ្ឋាគារ
,,,,,,,,,,,សេដ្ឋកិច្ច
,,,,,,,,,,,នីតិសាស្រ្ត និងវិទ្យាសាស្រ្តនយោបាយ
,,,,,,,,,,,រដ្ឋបាលសាធារណៈ
,,,,,,,,,,,អក្សរសាស្រ្តអង់គ្លេស
,,,,,,,,,,,វិស្វកម្មសំណង់ស៊ីវិល
,,,,,,,,,,,អគ្គីសនី
,,,,,,,,,,,វិទ្យាសាស្រ្តកុំព្យូទ័រ
,,,,,,,,,,,វិទ្យាសាស្រ្តអប់រំ
,,,,,,,,,,,គណិតវិទ្យា
,,,,,,,,,,,អក្សរសាស្រ្តខ្មែរ
,,,,,,,,,,,ជីវៈវិទ្យា
28,សាខាសាកលវិទ្យាល័យគ្រប់គ្រង និងសេដ្ឋកិច្ច ,management_economic,ភូមិរ៉ា សង្កាត់ផ្ទះព្រៃ ក្រុងពោធន៍សាត់ ខេត្តពោធិ៍សាត់ ,ពោធិ៍សាត់,០១២ ៥២០ ០០៦,,mensethy@camintel.com,,,គ្រប់គ្រងពាណិជ្ជកម្ម និងទេសចរណ៍,គណនេយ្យ
,,,,,,,,,,,គ្រប់គ្រង
,,,,,,,,,,,ធនាគារ
,,,,,,,,,,,ទីផ្សារ(ម៉ាឃីតធីង)
,,,,,,,,,,សិល្បៈមនុស្សសាស្រ្ត និងភាសាបរទេស,ការបង្រៀន
,,,,,,,,,,,ការបកប្រែ
,,,,,,,,,,វិទ្យាសាស្រ្ត និងបច្ចេកវិទ្យា,សរសេរកម្មវិធីនិងរចនាគេហទំព័រ
,,,,,,,,,,,បណ្តាញណិតវើក
,,,,,,,,,,,គ្រប់គ្រងប្រព័ន្ធព័ត៌មានវិទ្យា
,,,,,,,,,,នីតិសាស្រ្ត និងសេដ្ឋកិច្ច,នីតិសាស្រ្ត
,,,,,,,,,,,សេដ្ឋកិច្ច
,,,,,,,,,,កសិកម្ម និងអភិវឌ្ឍន៍ជនបទ,ក្សេត្យសាស្រ្ត
,,,,,,,,,,,រុក្ខកម្ម
,,,,,,,,,,,ជលផល
,,,,,,,,,,,ស្ថាបត្យកម្ម
29,សាខាសាកលវិទ្យាល័យអង្គរខេមរា,angkor_khemara,អគារលេខD1-D5 ភូមិពាលញែក សង្កាត់ផ្ទះព្រៃ ក្រុងពោធិ៍សាត់ ខេត្តពោធិ៍សាត់ ,ពោធិ៍សាត់,០៣២ ៦៩០ ០១៤៣; ០៣២ ៦៩៩ ៩៩៥១ ;           ០៩៧ ៧៧៧ ៩៣៩៦,,angkorkhemara_pe@yahoo.com,,,មហាវិទ្យាល័យ វិទ្យាសាស្រ្តសង្គម,សង្គមវិទ្យា
,,,,,,,,,,,កិច្ចការសង្គម
,,,,,,,,,,,ចិត្តវិទ្យា
,,,,,,,,,,,វិទ្យាសាស្រ្តនយោបាយ
,,,,,,,,,,,សេដ្ឋកិច្ច
,,,,,,,,,,,គ្រប់គ្រងទូទៅ
,,,,,,,,,,,ភូមិវិទ្យា
,,,,,,,,,,,នីតិសាធារណៈ
,,,,,,,,,,,នីតិឯកជន
,,,,,,,,,,,គណនេយ្យ និងហរិញ្ញវត្ថុ
,,,,,,,,,,,ធនាគារ និងហរិញ្ញវត្ថុ
,,,,,,,,,,,រដ្ឋបាលពាណិជ្ជកម្ម
,,,,,,,,,,,ទីផ្សារ និងការលក់
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍
,,,,,,,,,,មហាវិទ្យាល័យវិទ្យាសាស្រ្តអប់រំ,គ្រប់គ្រងអប់រំ
,,,,,,,,,,,គរុកោសល្យសង្គម
,,,,,,,,,,,គណិតវិទ្យា
,,,,,,,,,,,រូបវិទ្យា
,,,,,,,,,,,គីមីវិទ្យា
,,,,,,,,,,,ជីវវិទ្យា
,,,,,,,,,,,ភូមិវិទ្យា
,,,,,,,,,,,ប្រវត្តិវិទ្យា
,,,,,,,,,,,ទស្សនវិជ្ជា
,,,,,,,,,,,អក្សរសាស្រ្តខ្មែរ
,,,,,,,,,,,ភាសាអង់គ្លេស
,,,,,,,,,,មហាវិទ្យាល័យ គណិតសាស្រ្ត និងវិទ្យាសាស្រ្ត,គណិតវិទ្យា
,,,,,,,,,,,រូបវិទ្យា
,,,,,,,,,,,គីមីវិទ្យា
,,,,,,,,,,,ជីវវិទ្យា
,,,,,,,,,,,វិទ្យាសាស្រ្តកុំព្យូទ័រ
,,,,,,,,,,,អគី្គសនី
,,,,,,,,,,មហាវិទ្យាល័យវិទ្យាសាស្រ្ត កសិកម្ម និងអភិវឌ្ឍន៍ជនបទ,វិទ្យាសាស្រ្តកសិកម្ម
,,,,,,,,,,,សេដ្ឋកិច្ចកសិកម្ម
,,,,,,,,,,,អភិវឌ្ឍន៍ជនបទ
30,សាខាសាលកវិទ្យាល័យអង្គរខេមរា,angkor_khemara,ភូមិត្រពាំងលើក សង្កាត់រកាធំ ក្រុងច្បារមន ខេត្តកំពង់ស្ពឺ ,កំពង់ស្ពឺ,០៩២ ២៥០ ០៧២ ;    ០១៥ ៧៨៨ ៦៨៦,,aku_ksp@yshoo.com,,,មហាវិទ្យាល័យ វិទ្យាសាស្រ្តសង្គម,សង្គមវិទ្យា
,,,,,,,,,,,កិច្ចការសង្គម
,,,,,,,,,,,ចិត្តវិទ្យា
,,,,,,,,,,,វិទ្យាសាស្រ្តនយោបាយ
,,,,,,,,,,,សេដ្ឋកិច្ច
,,,,,,,,,,,គ្រប់គ្រងទូទៅ
,,,,,,,,,,,ភូមិវិទ្យា
,,,,,,,,,,,នីតិសាធារណៈ
,,,,,,,,,,,នីតិឯកជន
,,,,,,,,,,,គណនេយ្យ និងហរិញ្ញវត្ថុ
,,,,,,,,,,,ធនាគារ និងហរិញ្ញវិត្ថុ
,,,,,,,,,,,រដ្ឋបាលពាណិជ្ជកម្ម
,,,,,,,,,,,ទីផ្សារ និងការលក់
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍
,,,,,,,,,,មហាវិទ្យាល័យ វិទ្យាសាស្រ្តអប់រំ,គ្រប់គ្រងអប់រំ
,,,,,,,,,,,គរុកោសល្យសង្គម
,,,,,,,,,,,គណិតវិទ្យា
,,,,,,,,,,,រូបវិទ្យា
,,,,,,,,,,,គីមីវិទ្យា
,,,,,,,,,,,ជីវវិទ្យា
,,,,,,,,,,,ភូមិវិទ្យា
,,,,,,,,,,,ប្រវត្តិវិទ្យា
,,,,,,,,,,,ទស្សនវិជ្ជា
,,,,,,,,,,,អក្សរសាស្រ្តខ្មែរ
,,,,,,,,,,,ភាសាអង់គ្លេស
,,,,,,,,,,មហាវិទ្យាសាស្រ្ត សិល្បៈ មនុស្យសាស្រ្ត និងភាសា,ប្រវត្តិវិទ្យា
,,,,,,,,,,,ទស្សនវិជ្ជា
,,,,,,,,,,,អក្សរសាស្រ្តខ្មែរ
,,,,,,,,,,,ភាសាអង់គ្លេស
,,,,,,,,,,មហាវិទ្យាល័យ គណិតសាស្រ្ត និងវិទ្យាសាស្រ្ត,គណិតវិទ្យា
,,,,,,,,,,,រូបវិទ្យា
,,,,,,,,,,,គីមីវិទ្យា
,,,,,,,,,,,ជីវវិទ្យា
,,,,,,,,,,,វិទ្យាសាស្រ្តកុំព្យូទ័រ
,,,,,,,,,,,អគ្គីសនី
,,,,,,,,,,មហាវិទ្យាល័យ វិទ្យាសាស្រ្ត និងអភិវឌ្ឍន៍ជនបទ,វិទ្យាសាស្រ្តកសិកម្ម
,,,,,,,,,,,សេដ្ឋកិច្ចកសិកម្ម
,,,,,,,,,,,អភិវឌ្ឍន៍ជនបទ
31,សាខាសាកលវិទ្យាល័យ គ្រប់គ្រង និងសេដ្ឋកិច្ច ,management_economic,ភូមិទី១ សង្កាត់ដងទង់ ក្រុងខេមរៈភូមិន្ទ ខេត្តកោះកុង ,កោះកុង,០៣៥ ៣០០ ០៦៣​; ០៩៣ ៨០៨ ៨៤៨,,ume_kk2012@yahoo.com; ralinchhum@yahoo.com,,,គ្រប់គ្រងពាណិជ្ជកម្ម និងទេសចរណ៍,គណនេយ្យ
,,,,,,,,,,,គ្រប់គ្រង
,,,,,,,,,,,ធនាគារ
,,,,,,,,,,,ទីផ្សារ
,,,,,,,,,,សិល្បៈមនុស្សសាស្រ្ត និងភាសាបរទេស,ការបង្រៀន
,,,,,,,,,,,ការបកប្រែ
,,,,,,,,,,វិទ្យាសាស្រ្ត និងបច្ចេកវិទ្យា,សរសេរកម្មវិធីនិងរចនាគេហទំព័រ
,,,,,,,,,,,បណ្តាញណិតវើក
,,,,,,,,,,,"គ្រប់គ្រងប្រព័ន្ធ
ព័ត៌មានវិទ្យា
"
,,,,,,,,,,នីតិសាស្រ្ត និងសេដ្ឋកិច្ច,នីតិសាស្រ្ត
,,,,,,,,,,,សេដ្ឋកិច្ច
